FCCL_n.fish,BirthYear,Longitude,Latitude,StationID
70,2008,-121.78002,38.07188,NA
52,2009,-121.78002,38.07188,NA
23,2009,-121.74603,38.0871,fccl002
151,2010,-121.7756,38.06667,fccl003
3,2011,-121.80528,38.06269,fccl004
5,2011,-121.80528,38.06269,fccl004
43,2011,-121.81736,38.06625,fccl005
4,2011,-121.81736,38.06625,fccl005
2,2011,-121.81736,38.06625,fccl005
25,2011,-121.81736,38.06625,fccl005
7,2011,-121.78347,38.07,NA
6,2011,-121.78347,38.07,NA
4,2011,-121.78347,38.07,NA
1,2011,-121.78347,38.07,NA
6,2012,-121.64545,38.34236,fccl007
5,2012,-121.64545,38.34236,fccl007
2,2012,-121.63862,38.35436,fccl008
28,2012,-121.64545,38.34236,fccl007
39,2012,-121.64898,38.3325,fccl009
16,2012,-121.64898,38.34894,fccl010
4,2012,-121.648,38.33472,fccl011
4,2013,-121.77611,38.06828,fccl012
7,2013,-121.77611,38.06828,fccl012
78,2013,-121.46803,38.07338,fccl013
11,2013,-121.46803,38.07338,fccl013
1,2014,-121.75058,38.08714,NA
6,2014,-121.63986,38.35386,NA
28,2014,-121.52219,38.30264,fccl016
1,2014,-121.68481,38.05553,fccl017
4,2014,-121.63978,38.35342,NA
2,2014,-121.75038,38.08719,NA
2,2014,-121.51611,38.30023,fccl020
1,2014,-121.67383,38.23197,fccl021
2,2014,-121.63742,38.35833,fccl022
2,2014,-121.6361,38.35708,fccl023
2,2014,-121.64253,38.34775,fccl024
5,2014,-121.64614,38.33597,fccl025
1,2014,-121.70269,38.10719,fccl026
2,2014,-121.73103,38.09858,fccl027
4,2014,-121.7035,38.12075,fccl028
1,2014,-121.65328,38.30117,fccl029
1,2015,-121.75011,38.08719,NA
2,2015,-121.74753,38.08833,fccl031
1,2015,-121.74442,38.09011,fccl032
8,2015,-121.73894,38.09292,fccl033
2,2015,-121.71102,38.11264,fccl034
12,2015,-121.705,38.11853,fccl035
74,2015,-121.70292,38.12161,fccl036
3,2016,-121.78308,38.06808,NA
19,2016,-121.78308,38.06806,NA
10,2016,-121.74936,38.07061,fccl039
10,2016,-121.71568,38.11022,fccl040
11,2016,-121.70694,38.11661,fccl041
47,2016,-121.78353,38.06992,NA
1,2016,-121.78353,38.06992,NA
1,2016,-121.9314,38.04451,fccl043
1,2016,-121.94767,38.04984,fccl044
1,2016,-121.93197,38.05188,fccl045
3,2017,-121.78308,38.06808,NA
10,2017,-121.78308,38.06806,NA
3,2017,-121.78308,38.06806,NA
6,2017,-121.78308,38.06806,NA
8,2017,-121.74936,38.07061,fccl039
2,2017,-121.74936,38.07061,fccl039
10,2017,-121.71568,38.11022,fccl040
3,2017,-121.70694,38.11661,fccl041
4,2017,-121.70694,38.11661,fccl041
4,2017,-121.70694,38.11661,fccl041
8,2017,-121.78353,38.06992,NA
10,2017,-121.78353,38.06992,NA
8,2017,-121.78353,38.06992,NA
3,2017,-121.78353,38.06992,NA
17,2017,-121.78353,38.06992,NA
1,2018,-121.77861,38.0725,fccl046
5,2018,-121.77861,38.0725,fccl046
1,2018,-121.75083,38.08667,NA
3,2018,-121.75,38.08667,NA
1,2018,-121.73889,38.092,fccl049
1,2018,-121.75806,38.04444,fccl050
3,2018,-121.77944,38.07222,NA
1,2018,-121.77528,38.07444,fccl052
1,2018,-121.6475,38.33167,NA
1,2018,-121.6475,38.33139,NA
2,2018,-121.64833,38.32444,fccl055
3,2018,-121.65111,38.317,fccl056
1,2018,-121.65444,38.30917,fccl057
1,2018,-121.65778,38.28167,fccl058
1,2018,-121.66028,38.28194,fccl059
1,2018,-121.64417,38.34167,NA
1,2018,-121.64444,38.34111,NA
1,2019,-121.79583,38.06472,NA
2,2019,-121.79083,38.06667,fccl003
2,2019,-121.79472,38.065,NA
2,2019,-121.79083,38.06667,fccl003
2,2019,-121.79056,38.06694,NA
2,2019,-121.79056,38.06694,NA
1,2019,-121.79028,38.06694,NA
3,2019,-121.79111,38.06667,fccl003
1,2019,-121.79028,38.06722,NA
1,2019,-121.78889,38.06722,NA
3,2019,-121.79306,38.06472,NA
1,2019,-121.79444,38.06417,NA
1,2019,-121.79694,38.06417,NA
3,2019,-121.79667,38.06389,NA
1,2019,-121.795,38.06472,NA
1,2019,-121.79583,38.06444,NA
1,2019,-121.79833,38.06361,NA
4,2019,-121.7975,38.06361,NA
1,2019,-121.79444,38.06444,NA
1,2019,-121.78917,38.0675,NA
1,2019,-121.78,38.07056,fccl080
1,2019,-121.80083,38.06278,NA
1,2019,-121.79472,38.06472,NA
1,2019,-121.80611,38.01278,fccl083
2,2019,-121.79889,38.06333,NA
1,2019,-121.79944,38.06333,NA
1,2019,-121.80111,38.06278,NA
1,2019,-121.78333,38.07028,NA
2,2019,-121.79611,38.06444,NA
1,2019,-121.79278,38.06583,NA
5,2019,-121.79667,38.06417,NA
1,2019,-121.79694,38.06389,NA
1,2019,-121.79722,38.06444,NA
2,2019,-121.79722,38.06444,NA
2,2019,-121.79722,38.06417,NA
3,2019,-121.79444,38.06472,NA
1,2019,-121.795,38.06444,NA
1,2019,-121.79528,38.06417,NA
2,2019,-121.79472,38.06444,NA
1,2019,-121.78333,38.06972,NA
1,2019,-121.80333,38.0625,fccl099
2,2019,-121.795,38.06444,NA
1,2019,-121.79444,38.06472,NA
3,2019,-121.79472,38.06444,NA
1,2019,-121.80833,38.0625,fccl099
1,2019,-121.79694,38.06417,NA
1,2019,-121.79278,38.06528,NA
1,2019,-121.66222,38.11806,fccl102
1,2019,-121.65306,38.11167,fccl103
1,2019,-121.65806,38.11667,fccl104
1,2019,-121.79706,38.06372,NA
1,2019,-121.78344,38.07042,NA
1,2019,-121.79472,38.06444,NA
1,2019,-121.79583,38.06417,NA
1,2019,-121.79444,38.06417,NA
1,2019,-121.79778,38.06389,NA
1,2019,-121.79722,38.06417,NA
1,2019,-121.78194,38.07056,fccl080
1,2019,-121.78194,38.07056,fccl080
2,2019,-121.79611,38.06444,NA
2,2019,-121.79639,38.06444,NA
1,2019,-121.7975,38.06333,NA
1,2019,-121.80194,38.06278,NA
