Source,Region,StationID,n.samples,gps,Freq.1995,Freq.1996,Freq.1997,Freq.1998,Freq.1999,Freq.2002,Freq.2004,Freq.2006,Freq.2008,Freq.2009,Freq.2010,Freq.2011,Freq.2012,Freq.2013,Freq.2014,Freq.2015,Freq.2016,Freq.2017,Freq.2018,Freq.2019,Freq.2020
CDFW-CCE,Confluence,NA,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
CDFW-CCE,NA,797,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CDFW-FMWT,Confluence,703,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
CDFW-FMWT,Confluence,704,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
CDFW-FMWT,Confluence,705,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CDFW-FMWT,Confluence,706,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CDFW-FMWT,Lower Sacramento River Ship Channel,797,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CDFW-FMWT,NA,412,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CDFW-FMWT,NA,503,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CDFW-FMWT,NA,507,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CDFW-FMWT,NA,518,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CDFW-FMWT,NA,519,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CDFW-FMWT,NA,703,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CDFW-FMWT,NA,704,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CDFW-FMWT,NA,797,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CDFW-SKT,Cache Slough,715,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CDFW-SKT,Cache Slough and Liberty Island,715,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
